"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "Au_4h_D238_4" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "PEG_4h_D238_8" "Au_24h_D240_9" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_14" "PEG_24h_D240_15" "PEG_24h_D240_16"
"PGM1" 4 5 6 NA NA NA NA NA 3 NA NA NA NA NA NA NA
"GSTM1" 3 4 3 NA NA NA NA NA 5 NA NA NA NA NA NA NA
"APRT" 4 4 5 NA NA NA NA NA 3 NA NA NA NA NA NA NA
"TUBB4A" 19 13 NA 2 NA 21 NA NA 16 NA NA 1 NA NA NA NA
"PABPC1" 1 3 NA 1 NA 5 NA NA 4 NA NA NA NA NA NA NA
"PCBP1" 3 NA NA NA NA 5 NA NA 1 NA NA NA NA NA NA NA
"PNP" 3 4 3 NA NA NA NA NA 2 NA NA NA NA NA NA NA
"WDR1" 2 NA NA NA NA 1 NA NA 2 NA NA NA NA NA 1 NA
"SePTIN7" 10 5 4 NA NA NA NA NA 12 2 NA NA NA NA NA NA
"PSMB4" 5 3 NA NA NA NA NA NA 8 NA NA NA NA NA NA NA
"PRDX1" NA 3 NA NA NA 1 NA NA 1 NA NA NA NA NA NA NA
"eIF5A" 3 NA 1 NA NA 2 NA NA 3 NA NA 2 NA NA NA NA
"SePTIN2" 6 5 5 NA NA 3 NA NA 4 NA NA NA NA NA NA NA
"LOX" 4 3 5 NA NA NA NA NA 6 NA NA NA NA NA NA NA
"GAPDHS" NA NA 4 NA NA 5 NA NA 3 NA NA NA 3 NA NA 3
"ARPC1B" 5 8 5 NA NA NA NA NA 9 NA NA NA NA NA NA NA
"CNN2" 2 2 2 NA NA NA NA NA 2 NA NA NA NA NA NA NA
"HNRNPF" NA NA NA NA NA 1 NA NA 1 NA NA NA NA 1 NA NA
"CAH2" 3 2 NA NA NA 3 NA NA 2 NA NA NA 1 NA 3 3
"RAC2" 5 5 6 NA NA NA NA NA 4 NA NA NA NA NA 2 1
"TUBB6" NA NA NA NA NA 15 NA NA 16 NA NA NA NA NA 32 12
"GPI" 4 3 1 NA NA 1 NA NA 1 NA NA NA 2 NA 2 1
"CFD" 7 10 10 3 NA 4 NA NA 9 NA NA NA 2 NA 5 7
"HSPA5" NA NA NA 1 NA 11 NA NA 6 NA NA NA NA NA NA NA
"HeBP1" 5 NA 2 NA NA NA NA NA 4 NA NA NA NA NA NA NA
"SPP1" 1 NA 2 NA NA NA NA NA 2 NA NA NA 2 NA NA NA
"P31098" 1 NA 2 NA NA NA NA NA 2 NA NA NA 2 NA NA NA
"GSTT1" 4 3 2 NA 1 NA NA NA 3 NA 1 NA NA NA NA NA
"FBP1" 3 NA 2 NA NA NA NA NA 2 NA NA NA NA NA NA NA
"eNO3" 10 9 NA NA 4 NA NA NA 9 NA NA NA NA NA 7 NA
"MYL9" 4 NA 3 NA NA NA NA NA 2 NA NA NA NA NA 2 NA
"eSD" 5 12 6 NA NA NA NA NA 9 NA NA NA NA NA 2 NA
"TPI1" 9 6 4 NA NA 3 NA NA 4 NA NA NA 1 NA 4 2
"GSTA2" 8 6 7 1 NA NA NA NA 4 3 NA NA NA NA NA NA
"CDC42" NA 3 2 1 NA NA NA NA 3 NA 1 NA NA NA NA NA
"GARIN1B" NA NA 3 NA NA NA NA NA 2 NA NA NA NA NA NA NA
"eXT1" 17 19 7 NA NA NA NA NA 8 NA NA NA NA NA NA NA
