"Evs_Au_Control_2" "Evs_Au_Control_3" "Evs_Au_4h_1" "Evs_Au_4h_2" "Evs_Au_4h_3" "Evs_Au_24h_1" "Evs_Au_24h_2" "Evs_Au_24h_3" "Au_Cit_5min_1" "Au_Cit_5min_2" "Au_Cit_5min_3" "Au_Cit_4h_1" "Au_Cit_4h_2" "Au_Cit_4h_3" "Au_Cit_24h_1" "Au_Cit_24h_2" "Au_Cit_24h_3" "Au_Lys_5min_1" "Au_Lys_5min_2" "Au_Lys_5min_3" "Au_Lys_4h_1" "Au_Lys_4h_2" "Au_Lys_4h_3" "Au_Lys_24h_1" "Au_Lys_24h_2" "Au_Lys_24h_3" "Evs_Control_2" "Evs_Control_3" "Evs_4h_1" "Evs_4h_2" "Evs_4h_3" "Evs_24h_1" "Evs_24h_2" "Evs_24h_3" "Evs_Pd_Control_2" "Evs_Pd_Control_3" "Evs_Pd_4h_1" "Evs_Pd_4h_2" "Evs_Pd_4h_3" "Evs_Pd_24h_1" "Evs_Pd_24h_2" "Evs_Pd_24h_3" "Pd_5min_1" "Pd_5min_2" "Pd_5min_3" "Pd_4h_1" "Pd_4h_2" "Pd_4h_3" "Pd_24h_1" "Pd_24h_2" "Pd_24h_3" "Pd_24h_4" "Evs_Pt_Control_2" "Evs_Pt_Control_3" "Evs_Pt_4h_1" "Evs_Pt_4h_2" "Evs_Pt_4h_3" "Evs_Pt_24h_1" "Evs_Pt_24h_2" "Evs_Pt_24h_3" "Pt_5min_1" "Pt_5min_2" "Pt_5min_3" "Pt_4h_1" "Pt_4h_2" "Pt_4h_3" "Pt_24h_1" "Pt_24h_2" "Pt_24h_3"
"APOA2" 0 0 0 6 4 2 4 2 3 7 6 6 1 5 6 2 3 5 5 13 6 6 7 3 12 65 0 0 2 9 6 4 6 7 0 0 0 4 8 3 2 10 4 5 6 3 14 11 5 4 1 7 0 0 3 4 4 3 7 6 7 11 11 7 8 7 7 8 9
"APOD" 0 0 5 9 7 6 0 0 9 5 8 5 5 8 10 2 0 7 9 8 4 5 7 0 9 2 0 0 5 8 11 4 10 9 0 0 6 3 9 7 7 9 12 8 11 9 13 12 4 2 3 6 0 0 8 5 0 8 3 5 2 7 6 1 4 5 1 12 12
"KRT71" 0 0 0 12 10 0 0 0 9 9 8 6 3 6 8 7 11 9 13 12 10 15 13 0 10 4 0 0 0 0 0 0 0 0 0 0 4 17 0 0 0 0 8 17 21 7 8 7 7 14 9 16 0 0 5 0 0 8 0 0 30 6 9 5 8 14 5 3 5
"SeRPINA3-4" 0 0 90 55 52 86 0 0 72 26 42 57 23 48 50 24 0 78 15 14 61 12 11 25 16 0 0 0 90 41 45 70 43 44 0 0 81 27 68 75 54 59 73 43 31 63 40 40 41 0 28 30 0 0 110 35 33 103 34 47 63 74 59 37 36 25 21 59 68
"LBP" 0 0 4 4 7 4 0 3 7 7 9 3 0 5 39 2 0 6 8 7 41 3 9 18 8 0 0 0 8 5 3 9 3 3 0 0 6 0 4 5 3 9 8 1 3 8 6 6 29 2 0 1 0 0 7 3 0 6 6 7 10 6 6 4 7 2 5 5 5
"F13A1" 0 0 8 8 9 6 3 2 8 3 4 10 0 6 9 3 0 5 4 2 7 2 4 0 5 0 0 0 9 8 8 11 4 8 0 0 6 5 7 7 8 7 4 1 2 4 4 5 6 4 4 3 0 0 10 4 0 7 2 5 5 5 2 1 3 3 0 6 7
"CPB2" 0 0 17 25 23 20 13 8 8 9 15 7 3 18 28 10 0 6 0 2 18 0 0 0 0 0 0 0 30 21 21 29 13 17 0 0 17 8 23 19 20 25 7 7 10 8 7 6 10 3 1 5 0 0 31 7 0 21 9 17 5 13 10 3 8 11 0 14 20
"ITIH3" 0 0 117 64 68 114 18 11 46 32 41 49 40 81 137 34 6 56 16 19 116 15 17 23 19 3 0 0 113 58 58 142 41 56 0 0 110 38 79 124 83 88 69 41 30 60 36 33 82 30 29 30 0 0 146 32 28 132 22 31 38 50 35 5 31 30 0 81 91
"GAPDH" 0 0 15 25 18 21 17 16 10 14 17 14 9 15 38 13 10 7 4 7 11 6 4 0 4 0 0 0 37 28 28 26 19 24 0 0 17 12 28 20 20 25 13 11 16 11 13 13 20 12 9 17 0 0 26 14 6 23 16 19 15 7 11 1 16 19 0 14 18
"SeRPINA3-8" 0 0 30 26 22 25 0 0 26 8 9 14 6 15 18 8 0 27 0 0 21 6 5 8 4 0 0 0 28 14 13 19 11 17 0 0 23 4 22 21 20 19 25 11 8 19 14 11 14 9 7 9 0 0 28 8 8 30 7 12 18 24 21 6 11 5 0 21 26
