"Evs_Au_Control_2" "Evs_Au_Control_3" "Evs_Au_4h_1" "Evs_Au_4h_2" "Evs_Au_4h_3" "Evs_Au_24h_1" "Evs_Au_24h_2" "Evs_Au_24h_3" "Au_Cit_5min_1" "Au_Cit_5min_2" "Au_Cit_5min_3" "Au_Cit_4h_1" "Au_Cit_4h_2" "Au_Cit_4h_3" "Au_Cit_24h_1" "Au_Cit_24h_2" "Au_Cit_24h_3" "Au_Lys_5min_1" "Au_Lys_5min_2" "Au_Lys_5min_3" "Au_Lys_4h_1" "Au_Lys_4h_2" "Au_Lys_4h_3" "Au_Lys_24h_1" "Au_Lys_24h_2" "Au_Lys_24h_3" "Evs_Control_2" "Evs_Control_3" "Evs_4h_1" "Evs_4h_2" "Evs_4h_3" "Evs_24h_1" "Evs_24h_2" "Evs_24h_3" "Evs_Pd_Control_2" "Evs_Pd_Control_3" "Evs_Pd_4h_1" "Evs_Pd_4h_2" "Evs_Pd_4h_3" "Evs_Pd_24h_1" "Evs_Pd_24h_2" "Evs_Pd_24h_3" "Pd_5min_1" "Pd_5min_2" "Pd_5min_3" "Pd_4h_1" "Pd_4h_2" "Pd_4h_3" "Pd_24h_1" "Pd_24h_2" "Pd_24h_3" "Pd_24h_4" "Evs_Pt_Control_2" "Evs_Pt_Control_3" "Evs_Pt_4h_1" "Evs_Pt_4h_2" "Evs_Pt_4h_3" "Evs_Pt_24h_1" "Evs_Pt_24h_2" "Evs_Pt_24h_3" "Pt_5min_1" "Pt_5min_2" "Pt_5min_3" "Pt_4h_1" "Pt_4h_2" "Pt_4h_3" "Pt_24h_1" "Pt_24h_2" "Pt_24h_3"
"F2" 0 0 59 77 80 72 35 19 29 33 48 38 36 70 104 48 30 31 8 5 59 3 8 3 12 1 0 0 107 76 90 96 59 76 0 0 69 31 71 61 77 75 34 36 31 38 46 39 37 22 25 33 0 0 95 48 27 88 46 49 18 27 22 10 25 30 0 66 69
"ITIH1" 0 0 81 36 39 81 8 6 14 25 24 12 24 42 46 21 3 16 10 8 36 6 6 5 6 0 0 0 65 37 30 75 28 37 0 0 71 15 45 80 38 44 22 16 22 22 23 18 35 17 17 23 0 0 98 14 17 82 22 25 13 30 32 5 22 19 0 57 47
"KLKB1" 0 0 17 11 14 13 3 3 11 7 14 7 0 10 29 2 0 6 4 2 10 0 1 0 3 0 0 0 16 9 8 18 6 11 0 0 16 4 13 18 13 23 22 13 13 16 20 17 26 16 18 11 0 0 27 13 7 29 11 15 10 7 7 3 8 7 0 13 12
"C7" 0 0 37 26 40 40 6 3 16 11 16 18 11 43 60 14 2 12 2 2 30 0 3 0 3 0 0 0 44 35 51 55 30 38 0 0 34 16 35 37 27 42 19 13 8 14 10 13 21 10 9 9 0 0 48 8 4 55 8 13 14 10 10 2 8 7 0 33 39
"eeF1A1" 0 0 14 23 19 14 31 19 6 25 35 7 8 18 19 22 18 11 4 5 11 5 7 0 6 1 0 0 21 23 24 15 21 23 0 0 19 0 22 13 16 24 8 6 12 10 9 9 17 6 1 18 0 0 23 18 13 22 27 25 23 16 18 7 20 23 0 18 21
"FN1" 0 0 69 40 63 65 0 0 8 58 43 10 67 86 33 29 37 1 2 5 21 3 4 0 0 0 0 0 37 37 25 61 39 40 0 0 62 17 58 74 51 54 13 17 36 15 15 12 24 14 15 21 0 0 71 22 95 66 62 45 6 14 13 1 16 14 0 68 71
"COMP" 0 0 15 12 9 15 0 0 11 8 5 6 5 12 25 7 0 10 5 0 13 0 3 1 0 0 0 0 20 12 11 14 8 15 0 0 11 3 13 14 14 8 7 6 8 4 8 5 6 0 4 6 0 0 18 4 5 16 3 12 6 12 11 3 8 4 0 12 16
"HBB" 0 0 28 32 32 32 24 24 11 23 31 22 14 37 37 26 14 13 11 12 42 17 25 0 21 0 0 0 39 36 36 33 30 34 0 0 27 16 39 34 35 35 27 18 19 15 20 22 15 0 0 19 0 0 47 23 14 34 23 27 19 23 25 22 23 25 0 40 40
"SeRPINA3-6" 0 0 70 48 42 71 0 0 60 0 37 43 0 39 42 25 0 66 15 14 49 12 11 14 16 0 0 0 59 36 36 52 36 36 0 0 63 23 57 58 43 45 61 38 31 50 38 39 33 27 28 0 0 0 78 29 24 83 27 0 56 63 50 31 32 25 0 47 55
"THBS4" 0 0 18 9 11 16 6 5 9 7 14 6 0 10 25 5 0 6 23 24 16 21 33 2 27 32 0 0 17 11 16 14 8 11 0 0 15 4 10 14 14 13 14 14 19 8 18 15 5 6 6 5 0 0 23 6 8 17 4 11 6 5 10 0 14 10 1 12 12
"CFD" 0 0 7 8 7 7 0 0 7 2 5 6 1 7 12 1 0 2 0 0 3 0 0 0 0 0 0 0 10 8 13 9 4 11 0 0 5 2 13 9 10 12 13 6 14 16 15 8 8 8 6 1 0 0 15 6 2 10 2 7 3 14 12 0 8 1 4 12 15
"KRT19" 0 0 0 19 12 9 26 17 23 22 19 14 7 0 26 9 11 19 33 28 20 14 26 0 15 0 0 0 0 20 13 0 20 20 0 0 0 34 15 8 11 12 21 24 37 14 20 14 24 21 17 17 0 0 12 21 12 11 0 21 65 16 14 0 14 21 11 12 11
"COL10A1" 0 0 0 0 2 0 0 0 1 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 2 0 0 3 5 8 8 4 9 8 1 3 2 2 0 0 3 0 0 0 0 0 1 3 6 0 8 6 2 2 5
"KRT79" 0 0 0 16 11 0 0 0 20 17 19 13 11 7 27 10 13 25 21 20 28 14 18 0 19 6 0 0 9 0 0 0 0 20 0 0 0 0 0 7 0 0 21 25 27 19 15 13 16 16 12 18 0 0 0 0 0 0 0 0 121 10 15 0 14 17 18 11 11
"HSP90AB1" 0 0 16 11 15 18 2 0 5 4 0 2 8 19 18 0 0 3 0 0 22 4 5 0 0 0 0 0 32 25 18 31 17 22 0 0 15 0 13 0 16 11 6 0 7 0 0 0 7 0 7 0 0 0 0 0 0 0 3 0 4 8 6 0 3 4 1 10 19
"CSN1S1" 0 0 0 8 3 0 2 0 0 4 6 0 5 3 0 2 3 3 0 0 0 0 0 0 3 0 0 0 0 4 6 0 8 6 0 0 0 2 7 0 5 7 1 1 2 1 5 2 1 6 6 5 0 0 0 4 2 0 6 5 2 2 2 0 2 1 0 2 3
"eNO1" 0 0 25 24 26 28 4 3 15 12 10 18 13 29 46 12 0 6 3 4 37 9 3 5 1 0 0 0 41 32 28 36 25 30 0 0 28 39 33 27 25 31 15 9 9 10 9 10 23 7 6 6 0 0 44 4 5 38 3 14 10 13 7 0 8 4 0 28 36
"KRT73" 0 0 4 12 10 5 12 0 8 10 11 7 5 7 13 7 9 13 13 15 18 11 13 0 13 0 0 0 8 13 8 2 10 12 0 0 0 27 12 3 9 7 14 15 23 7 10 7 7 15 8 10 0 0 9 11 7 9 6 11 46 5 8 0 7 11 0 9 10
"HSPA1B" 0 0 16 25 21 17 3 4 7 6 14 6 5 16 29 8 0 7 0 3 18 0 0 0 0 0 0 0 32 31 28 25 26 30 0 0 17 0 25 17 14 24 7 8 10 6 7 6 11 5 3 8 0 0 22 8 3 27 6 13 10 5 8 0 9 3 0 23 25
"FGB" 0 0 20 24 30 22 2 0 11 11 16 13 13 30 50 20 0 9 2 3 32 4 4 0 2 0 0 0 41 35 38 27 26 29 0 0 22 12 27 23 24 33 11 7 14 8 18 15 22 8 5 7 0 0 38 9 6 37 9 18 3 11 17 0 8 7 0 31 33
"ACTC1" 0 0 33 36 38 35 11 0 30 18 20 20 0 32 61 15 0 27 0 0 42 0 0 0 14 0 0 0 50 34 38 38 25 30 0 0 40 0 45 35 42 44 30 26 27 28 21 21 36 16 17 15 0 0 40 18 8 48 21 28 22 23 17 0 13 12 0 33 41
"HSPA1A" 0 0 16 25 21 17 3 4 7 6 14 6 5 16 29 8 0 7 0 3 18 0 0 0 0 0 0 0 32 31 28 25 26 30 0 0 17 0 25 17 14 24 7 8 10 6 7 6 11 5 3 8 0 0 22 8 3 27 6 13 10 5 8 0 9 3 0 23 25
"F10" 0 0 6 7 6 9 0 0 6 5 12 5 0 10 18 4 4 4 0 1 13 0 0 0 0 0 0 0 14 10 15 12 12 12 0 0 8 0 10 7 8 9 5 12 17 8 10 12 13 7 4 7 0 0 13 7 5 8 3 6 4 3 3 0 4 2 0 10 11
"MST1" 0 0 5 5 6 6 4 0 0 4 7 2 4 8 11 3 0 0 5 1 3 3 4 0 5 0 0 0 7 6 9 7 5 6 0 0 2 0 4 6 6 10 5 11 17 12 14 16 6 6 5 3 0 0 8 0 0 7 2 7 2 2 5 0 6 5 0 4 7
"PROS1" 0 0 38 10 5 46 0 0 10 0 8 10 0 8 16 5 0 12 0 0 15 0 0 0 0 0 0 0 39 8 8 39 7 11 0 0 35 0 13 37 8 10 10 9 7 10 10 12 7 6 4 6 0 0 38 3 0 37 0 9 7 18 14 0 7 7 0 10 18
"LYSM" 0 0 0 0 0 0 0 0 1 1 3 2 2 2 2 4 1 1 3 3 2 2 3 0 5 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 1 2 4 1 2 3 2 1 1 1 0 0 0 0 0 0 0 0 3 2 2 0 1 2 0 2 1
"RAP1B" 0 0 6 9 5 7 6 3 0 3 7 3 2 5 11 2 0 2 0 0 7 0 0 2 0 0 0 0 13 10 14 12 8 13 0 0 7 6 9 6 7 8 9 2 3 3 4 3 2 0 0 5 0 0 14 3 0 7 2 6 1 3 5 0 2 2 0 6 6
"CFL1" 0 0 2 4 5 2 0 0 0 2 6 4 0 2 8 3 0 1 0 0 4 0 0 0 0 0 0 0 0 7 9 6 4 6 0 0 4 0 10 4 2 0 2 1 3 1 4 3 0 0 0 3 0 0 10 4 2 6 2 6 4 3 3 0 2 2 0 6 4
"APOC3" 0 0 0 4 0 0 0 0 2 6 7 1 5 1 2 3 4 0 4 8 3 5 6 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 6 5 1 0 0 2 0 0 0 4 0 0 0 7 1 9 6 0 4 5 0 5 2
"SPP2" 0 0 0 0 0 0 0 0 0 1 1 3 0 0 7 0 0 0 2 2 4 0 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 14 0 8 9 0 5 0 2 0 0 5 0 2 0 0 2 3 3 4 0 10 5 0 2 1
"TAGLN2" 0 0 2 11 10 5 0 0 9 8 9 5 0 6 14 0 0 0 10 11 14 11 13 0 11 5 0 0 4 13 9 5 5 11 0 0 2 0 10 4 8 10 9 12 12 0 10 8 0 6 0 0 0 0 9 9 0 6 7 15 2 11 10 0 7 5 0 9 12
"PPIA" 0 0 0 11 10 3 9 9 0 3 11 6 1 9 11 3 0 0 1 0 7 0 0 0 0 0 0 0 6 15 16 6 9 14 0 0 0 0 12 2 8 9 4 2 4 0 4 3 0 0 0 3 0 0 8 5 0 5 3 14 3 3 5 0 2 2 0 9 11
"PGLYRP1" 0 0 0 6 3 0 11 8 0 5 8 2 0 2 1 4 3 1 16 17 2 21 24 0 23 29 0 0 4 7 3 0 7 6 0 0 5 0 0 3 6 0 1 4 4 0 2 0 0 0 0 5 0 0 6 7 0 5 4 8 1 4 9 0 8 9 0 1 5
"CDH5" 0 0 0 9 5 0 0 0 14 0 3 4 0 6 2 0 0 7 0 0 6 0 0 0 0 0 0 0 4 4 3 0 5 6 0 0 0 0 9 0 5 10 7 0 6 4 3 2 2 0 1 2 0 0 3 0 0 3 0 3 3 7 5 0 5 1 0 5 10
"COL1A1" 0 0 13 6 9 13 0 0 9 0 4 3 0 5 2 0 0 4 0 0 0 0 0 0 0 0 0 0 14 3 5 11 3 4 0 0 13 0 13 15 10 12 10 0 2 5 3 1 3 0 0 3 0 0 26 0 0 26 0 0 2 11 9 0 6 1 0 14 11
"COL2A1" 0 0 0 3 0 3 0 0 1 0 0 2 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 3 0 0 0 0 3 0 0 2 0 0 3 0 3 0 2 0 0 0 0 2 0 0 0 0 0 5 0 0 1 6 8 0 7 4 0 6 8
"HMGB2" 0 0 0 17 13 0 16 14 0 10 21 0 2 4 0 10 8 0 0 0 0 0 1 0 0 0 0 0 0 15 9 0 17 13 0 0 0 2 4 2 7 5 0 0 3 3 4 5 2 3 3 9 0 0 2 8 2 2 11 14 2 4 2 0 12 15 0 5 6
"H2BC12" 0 0 4 4 2 2 7 8 0 5 9 1 4 2 3 4 1 0 0 0 3 0 0 0 0 0 0 0 4 7 5 3 6 4 0 0 2 13 0 3 2 4 1 0 0 0 0 0 0 0 0 2 0 0 2 3 4 4 4 3 2 4 3 0 3 4 0 6 3
"CPN1" 0 0 24 16 22 17 5 6 5 10 11 10 9 18 26 6 0 5 0 0 22 0 0 1 0 0 0 0 43 21 25 32 18 19 0 0 25 11 22 19 19 25 6 0 0 4 5 3 15 0 0 5 0 0 31 8 9 25 4 14 3 5 7 0 3 7 0 20 23
"KRT17" 0 0 0 27 0 0 43 29 37 32 35 0 13 14 45 0 15 35 51 47 37 27 42 0 32 0 0 0 11 32 15 4 29 31 0 0 0 105 25 0 0 0 32 36 56 22 32 25 30 36 24 36 0 0 19 31 22 0 0 32 176 24 28 0 24 36 19 0 19
"H2B1" 0 0 4 0 2 2 7 8 0 5 9 1 0 2 3 4 1 0 0 0 3 0 0 0 0 0 0 0 4 7 5 3 6 4 0 0 2 13 0 3 2 4 1 0 0 0 0 0 0 0 0 2 0 0 2 3 4 4 4 3 2 4 3 0 3 4 0 0 3
"UBA52" 0 0 0 2 2 0 6 7 2 3 0 1 0 2 4 4 2 1 5 5 1 6 8 0 0 0 0 0 0 9 0 3 7 7 0 0 2 0 3 3 3 4 0 3 9 0 4 3 2 4 7 4 0 0 3 2 0 0 2 4 4 5 5 0 3 4 0 0 5
"ACTA1" 0 0 0 0 38 0 11 0 30 18 20 20 0 32 0 15 0 27 0 0 0 0 0 0 14 0 0 0 0 0 0 0 25 0 0 0 0 39 0 0 0 44 30 26 27 28 21 21 36 16 17 15 0 0 0 18 8 48 21 28 22 23 17 0 13 12 0 33 0
"PROC" 0 0 10 9 13 11 0 0 8 4 6 4 1 9 21 4 0 5 0 0 8 0 0 0 0 0 0 0 18 10 14 16 6 8 0 0 11 2 15 8 11 9 7 7 6 2 9 8 5 4 2 1 0 0 18 0 0 12 2 6 1 5 5 1 0 2 0 10 16
"KRT80" 0 0 4 3 0 3 4 3 4 2 3 4 0 0 7 2 3 7 7 5 11 0 6 0 5 0 0 0 0 2 2 0 2 3 0 0 4 16 3 3 3 0 8 3 4 3 3 0 5 4 0 3 0 0 5 4 2 4 0 4 26 3 3 0 0 5 8 3 2
"AHCY" 0 0 15 15 15 14 4 0 8 2 6 12 3 19 20 4 0 9 0 0 14 6 0 0 0 0 0 0 22 24 28 19 19 20 0 0 17 12 20 13 15 19 12 7 8 7 6 2 11 5 0 4 0 0 19 5 2 18 3 7 7 7 6 0 0 2 0 18 24
"GFAP" 0 0 0 0 0 0 3 0 0 3 5 0 4 0 10 0 2 7 5 5 11 0 4 0 3 0 0 0 0 4 3 0 2 5 0 0 0 12 4 0 0 0 9 7 6 0 4 0 0 4 0 0 0 0 0 5 0 6 0 0 23 5 4 0 0 6 0 5 3
"RAP1A" 0 0 6 0 0 0 0 0 3 0 0 3 2 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 10 0 0 9 0 0 7 6 0 6 0 0 0 2 0 3 0 0 2 0 0 0 0 0 0 0 0 0 2 0 1 3 5 0 0 2 0 0 0
"LTF" 0 0 7 6 5 10 3 0 12 16 14 10 7 6 7 3 0 0 21 26 0 13 28 0 17 0 0 0 5 0 5 9 7 5 0 0 7 3 7 9 4 9 16 52 54 21 48 47 19 35 33 19 0 0 7 0 10 3 0 10 4 7 5 9 6 0 15 8 8
"TPI1" 0 0 0 9 7 2 0 0 5 3 7 3 0 5 18 3 0 0 0 0 3 0 0 0 0 0 0 0 9 10 14 2 7 12 0 0 2 0 10 2 6 9 5 5 9 6 8 5 4 1 0 0 0 0 13 3 0 6 2 8 2 1 6 0 0 0 0 7 9
"TUBA4A" 0 0 26 29 34 33 2 2 6 9 14 17 9 33 37 13 0 9 0 1 30 0 1 0 0 0 0 0 52 57 55 43 30 43 0 0 30 43 43 27 37 42 8 6 11 12 12 13 23 8 5 6 0 0 42 10 8 32 3 15 24 12 8 5 6 0 0 36 43
"TBA1B" 0 0 25 27 30 28 2 0 7 6 11 17 11 29 32 11 0 8 3 0 29 0 0 0 0 0 0 0 49 47 50 40 26 35 0 0 25 48 40 25 32 38 8 7 15 12 11 13 21 7 7 6 0 0 36 11 7 29 3 15 25 10 7 4 9 0 0 34 37
"SeRPINA6" 0 0 8 15 17 11 0 0 11 2 6 7 0 15 16 7 0 8 0 2 16 0 0 6 1 0 0 0 10 17 18 8 17 19 0 0 10 2 11 8 12 14 9 3 6 8 4 7 9 3 2 4 0 0 18 0 0 17 0 8 7 10 5 3 7 0 0 16 17
"F9" 0 0 12 7 7 20 0 0 9 2 2 3 0 7 8 4 0 6 0 0 7 0 0 0 0 0 0 0 20 6 6 16 4 8 0 0 14 0 7 12 8 4 3 2 3 2 3 1 1 1 0 1 0 0 15 0 0 11 2 0 1 1 2 1 5 0 0 4 11
"FMOD" 0 0 8 8 7 9 0 0 4 0 0 6 0 10 12 0 0 7 0 0 12 0 0 0 0 0 0 0 10 6 10 6 5 5 0 0 10 3 8 9 7 9 4 6 3 5 0 0 7 0 0 0 0 0 12 0 0 12 0 0 3 5 6 0 0 0 0 10 10
"CRYZL1" 0 0 0 0 0 0 0 0 0 0 7 0 0 0 4 0 3 0 3 0 0 0 0 0 0 3 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 4 0 0 4 0 0 4 0 0 0 0 0 0 0 0 4 6 7 4 6 0 1 0 0
"CRYZ" 0 0 0 0 0 5 0 0 0 3 1 1 0 2 0 3 2 0 0 1 0 1 1 2 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 2 1 2 0 0 0 0 2 0 0 0 0 3 2 1 3 1 0 1 0 0
"COL1A2" 0 0 11 7 6 9 0 0 3 0 3 7 0 5 5 1 0 4 0 0 1 0 0 0 0 0 0 0 8 4 8 10 8 10 0 0 8 0 5 12 6 7 5 3 5 3 5 4 3 0 0 5 0 0 24 2 2 15 0 4 4 14 17 0 7 0 2 6 13
"KRT28" 0 0 0 0 12 0 0 0 0 0 0 0 6 8 0 0 10 13 21 0 14 14 0 0 0 0 0 0 0 0 8 0 0 0 0 0 7 7 0 6 0 0 0 17 24 11 0 0 15 15 0 0 0 0 0 0 0 0 0 14 28 9 11 0 0 0 0 7 7
"HSPA8" 0 0 15 21 15 15 0 0 8 5 6 5 4 20 23 6 0 6 0 3 19 5 0 0 0 0 0 0 31 23 33 22 21 23 0 0 16 0 25 15 18 20 10 5 10 9 10 7 16 5 0 10 0 0 23 3 0 18 0 7 15 6 8 0 5 0 0 26 20
"GPLD1" 0 0 17 3 7 15 0 0 8 0 2 0 0 10 5 0 0 5 1 1 3 0 0 0 0 0 0 0 20 3 6 14 2 5 0 0 11 0 6 16 7 5 4 3 8 3 6 4 0 1 0 1 0 0 23 0 0 22 0 3 3 7 5 0 3 0 0 13 12
"YWHAZ" 0 0 6 13 13 8 0 0 4 5 8 5 3 8 16 5 0 0 0 0 5 0 0 0 0 0 0 0 15 16 19 12 10 14 0 0 9 29 14 8 10 11 6 4 11 8 7 5 6 0 2 0 0 0 16 7 3 11 0 7 12 6 5 0 2 0 0 12 17
"HSP90AA1" 0 0 27 16 19 27 2 3 8 4 6 7 6 24 22 6 0 2 0 3 23 2 0 0 0 0 0 0 38 32 22 0 24 22 0 0 21 43 24 30 24 18 5 2 3 5 0 2 9 0 0 0 0 0 30 0 0 31 0 4 4 7 3 0 4 0 0 11 25
"GDI2" 0 0 6 2 8 8 0 0 3 0 3 3 4 5 8 0 0 0 0 0 6 0 0 0 0 0 0 0 11 7 9 16 5 9 0 0 4 0 0 10 7 10 0 0 0 4 0 0 3 0 0 0 0 0 8 0 0 12 0 3 4 3 3 0 0 0 0 7 6
"LDHA" 0 0 9 10 13 8 4 4 0 7 8 4 0 11 25 9 0 0 2 0 0 5 0 0 2 0 0 0 14 21 23 8 5 15 0 0 8 15 12 11 16 16 0 0 7 0 9 6 5 0 0 2 0 0 10 3 0 12 5 8 7 5 8 0 5 0 0 15 14
"PRDX2" 0 0 2 3 0 3 0 0 0 0 1 0 0 2 6 0 0 0 1 0 0 0 0 0 0 0 0 0 4 0 4 5 0 0 0 0 2 0 0 2 0 4 5 0 4 3 3 0 1 0 0 0 0 0 0 0 0 0 0 0 5 2 4 0 2 0 0 5 4
"HSPA5" 0 0 6 0 0 0 0 0 5 0 3 2 0 7 8 0 0 4 0 2 5 0 0 0 0 0 0 0 12 18 12 8 0 16 0 0 0 0 0 4 0 6 5 0 5 3 4 0 0 0 0 0 0 0 8 0 0 8 0 0 6 3 4 0 2 0 0 0 0
"TRPC4" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 4 2 2 0 3 0 0 0 0
"CST3" 0 0 7 0 0 5 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 4 0 0 0 0 5 0 4 5 0 3 0 0 1 0 0 0 0 0 0 0 0 0 4 0 0 8 0 0 1 1 1 0 0 0 0 0 0
"SeRPINA3-1" 0 0 111 53 54 113 0 0 84 0 0 63 21 50 50 0 12 83 14 13 70 14 12 50 0 13 0 0 132 40 46 114 42 43 0 0 93 37 75 100 49 64 72 38 0 77 34 0 50 0 0 29 0 0 133 33 32 131 35 45 68 74 60 53 0 0 27 55 60
"TUBB5" 0 0 23 17 22 21 0 2 0 2 0 8 5 24 29 3 0 0 0 1 15 0 0 0 0 0 0 0 50 38 42 41 23 38 0 0 28 41 39 21 0 32 0 0 7 8 0 3 18 3 2 0 0 0 38 6 0 27 0 4 33 7 4 1 0 0 0 27 33
"MDH1B" 0 0 0 0 0 0 0 0 0 7 6 5 0 0 7 5 9 5 9 8 3 0 0 3 9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 5 10 6 6 8 0 9 0 0 0 0 0 0 0 0 9 5 7 17 0 0 20 0 0
"YWHAe" 0 0 5 7 8 9 0 0 4 0 0 2 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 17 9 12 14 6 9 0 0 6 25 8 5 5 9 3 0 5 6 0 0 5 0 0 0 0 0 11 4 0 5 0 0 6 4 3 0 0 0 0 6 10
"CALM" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 4 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0
"GGH" 0 0 4 4 3 7 0 0 1 0 0 0 0 3 8 0 0 0 0 0 8 0 0 0 0 0 0 0 8 2 4 3 0 2 0 0 5 0 4 4 4 2 2 0 0 0 1 1 3 0 0 0 0 0 13 0 0 12 0 0 0 1 1 0 0 0 0 6 9
"TXN" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 2 0 0 1 0
"PSMA5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 2 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1
"NCAM1" 0 0 3 0 0 0 0 0 0 0 0 0 0 4 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 3 0 0 0 2 2 0 0 0 0 0 4
"H4" 0 0 0 5 4 0 7 8 2 6 8 2 6 4 2 7 7 3 3 2 5 1 2 0 2 0 0 0 9 6 5 3 4 6 0 0 2 23 6 3 6 7 2 3 3 2 3 2 0 3 2 5 0 0 4 5 5 3 5 7 0 3 5 2 6 7 0 4 5
"PLA2G7" 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 1 0 0 0 0 0 0 2 0 0 5 0 0 0 2 1 0 0 0 0 0 1
"F11" 0 0 3 6 8 3 0 0 3 0 2 0 0 6 10 0 0 0 0 0 4 0 0 0 0 0 0 0 4 3 5 3 0 4 0 0 3 0 6 6 4 8 4 1 0 0 0 0 3 0 2 1 0 0 8 0 0 6 0 0 0 3 5 0 1 1 0 9 9
"IGFBP2" 0 0 0 7 9 0 0 0 18 35 40 7 0 0 24 0 0 2 18 18 0 11 17 0 12 5 0 0 4 4 3 2 6 4 0 0 0 2 24 0 14 24 34 59 57 38 53 52 32 45 49 18 0 0 0 25 30 0 37 52 0 5 10 0 18 15 0 15 13
"CL43" 0 0 0 6 6 0 0 0 7 1 2 4 0 3 4 0 0 5 0 0 6 0 0 0 0 0 0 0 0 5 5 0 4 5 0 0 0 0 5 0 0 9 5 3 3 3 3 4 1 1 1 2 0 0 4 0 0 3 0 2 0 6 7 0 4 2 0 4 6
"CKM" 0 0 0 0 0 0 0 0 6 4 7 5 8 8 8 4 0 0 2 0 5 3 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 6 4 4 11 8 10 4 5 4 0 0 0 0 0 0 0 0 0 6 8 0 5 4 0 7 13
"CATHL4" 0 0 0 0 0 0 0 0 0 1 5 1 0 0 1 0 0 0 5 6 1 2 5 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 9 15 2 14 10 1 0 0 1 0 0 0 0 0 0 0 0 0 2 2 0 1 2 0 1 1
"OGN" 0 0 4 4 4 3 0 0 1 2 2 5 0 2 9 3 0 3 0 0 7 0 0 0 0 0 0 0 8 5 7 7 4 5 0 0 4 4 5 3 3 2 2 1 1 4 2 1 7 2 0 1 0 0 5 0 0 6 0 0 0 1 1 0 1 1 0 4 3
"RBP4" 0 0 9 7 9 9 0 0 8 5 11 4 9 7 5 10 8 4 0 0 3 2 1 1 0 3 0 0 8 7 10 11 10 10 0 0 7 2 12 12 9 12 6 3 5 3 8 7 0 1 0 5 0 0 15 3 13 8 7 3 0 11 14 0 9 5 0 10 9
"FGG" 0 0 14 20 23 17 0 0 7 7 10 3 6 19 33 12 0 6 0 0 25 0 0 0 0 0 0 0 21 25 23 15 19 22 0 0 19 3 24 11 18 26 4 5 2 8 4 4 17 0 0 0 0 0 24 4 0 19 0 6 0 5 3 0 2 3 0 24 26
"H1-3" 0 0 0 4 0 0 3 5 0 4 5 0 0 0 1 6 2 0 4 3 3 6 5 0 4 0 0 0 0 4 0 0 6 0 0 0 0 4 0 0 0 0 2 4 3 0 5 4 0 1 0 5 0 0 0 4 0 0 3 4 0 3 3 0 4 4 0 2 2
"PFN1" 0 0 9 13 10 8 8 7 0 7 7 11 7 8 17 7 3 0 0 0 15 0 0 1 0 0 0 0 17 11 12 12 9 8 0 0 8 8 11 12 9 11 11 2 6 0 6 7 0 0 0 8 0 0 16 7 4 14 7 8 0 9 8 0 8 8 0 10 14
